,time,p,u,v
0,-5.675907817054488,0.0,-0.0,-0.0
1,-5.673907817054486,0.0,-0.0,-0.0
2,-5.671907817054485,0.0,-0.0,-0.0
3,-5.669907817054487,0.0,-0.0,-0.0
4,-5.667907817054486,0.0,-0.0,-0.0
5,-5.665907817054485,0.0,-0.0,-0.0
6,-5.663907817054486,0.0,-0.0,-0.0
7,-5.6619078170544865,0.0,-0.0,-0.0
8,-5.659907817054488,0.0,-0.0,-0.0
9,-5.657907817054486,0.0,-0.0,-0.0
10,-5.655907817054485,0.0,-0.0,-0.0
11,-5.653907817054487,0.0,-0.0,-0.0
12,-5.651907817054486,0.0,-0.0,-0.0
13,-5.649907817054485,0.0,-0.0,-0.0
14,-5.647907817054486,0.0,-0.0,-0.0
15,-5.6459078170544865,0.0,-0.0,-0.0
16,-5.643907817054488,0.0,-0.0,-0.0
17,-5.641907817054486,0.0,-0.0,-0.0
18,-5.639907817054485,0.0,-0.0,-0.0
19,-5.637907817054487,0.0,-0.0,-0.0
20,-5.635907817054486,0.0,-0.0,-0.0
21,-5.633907817054485,0.0,-0.0,-0.0
22,-5.631907817054486,0.0,-0.0,-0.0
23,-5.6299078170544865,0.0,-0.0,-0.0
24,-5.627907817054488,0.0,-0.0,-0.0
25,-5.625907817054486,0.0,-0.0,-0.0
26,-5.623907817054485,0.0,-0.0,-0.0
27,-5.621907817054487,0.0,-0.0,-0.0
28,-5.619907817054486,0.0,-0.0,-0.0
29,-5.617907817054485,0.0,-0.0,-0.0
30,-5.615907817054486,0.0,-0.0,-0.0
31,-5.6139078170544865,0.0,-0.0,-0.0
32,-5.611907817054488,0.0,-0.0,-0.0
33,-5.609907817054486,0.0,-0.0,-0.0
34,-5.607907817054485,0.0,-0.0,-0.0
35,-5.605907817054487,0.0,-0.0,-0.0
36,-5.603907817054487,0.0,-0.0,-0.0
37,-5.601907817054485,0.0,-0.0,-0.0
38,-5.599907817054486,0.0,-0.0,-0.0
39,-5.5979078170544865,0.0,-0.0,-0.0
40,-5.595907817054488,0.0,-0.0,-0.0
41,-5.593907817054486,0.0,-0.0,-0.0
42,-5.591907817054485,0.0,-0.0,-0.0
43,-5.589907817054487,0.0,-0.0,-0.0
44,-5.587907817054487,0.0,-0.0,-0.0
45,-5.585907817054485,0.0,-0.0,-0.0
46,-5.583907817054486,0.0,-0.0,-0.0
47,-5.5819078170544865,0.0,-0.0,-0.0
48,-5.579907817054488,0.0,-0.0,-0.0
49,-5.577907817054486,0.0,-0.0,-0.0
50,-5.575907817054485,0.0,-0.0,-0.0
51,-5.573907817054487,0.0,-0.0,-0.0
52,-5.571907817054487,0.0,-0.0,-0.0
53,-5.569907817054485,0.0,-0.0,-0.0
54,-5.567907817054486,0.0,-0.0,-0.0
55,-5.5659078170544865,0.0,-0.0,-0.0
56,-5.563907817054488,0.0,-0.0,-0.0
57,-5.561907817054486,0.0,-0.0,-0.0
58,-5.559907817054485,0.0,-0.0,-0.0
59,-5.557907817054486,0.0,-0.0,-0.0
60,-5.555907817054487,0.0,-0.0,-0.0
61,-5.553907817054485,0.0,-0.0,-0.0
62,-5.551907817054486,0.0,-0.0,-0.0
63,-5.5499078170544855,0.0,-0.0,-0.0
64,-5.5479078170544875,0.0,-0.0,-0.0
65,-5.545907817054486,0.0,-0.0,-0.0
66,-5.543907817054485,0.0,-0.0,-0.0
67,-5.541907817054486,0.0,-0.0,-0.0
68,-5.539907817054487,0.0,-0.0,-0.0
69,-5.537907817054485,0.0,-0.0,-0.0
70,-5.535907817054486,0.0,-0.0,-0.0
71,-5.5339078170544855,0.0,-0.0,-0.0
72,-5.5319078170544875,0.0,-0.0,-0.0
73,-5.529907817054486,0.0,-0.0,-0.0
74,-5.527907817054485,0.0,-0.0,-0.0
75,-5.525907817054486,0.0,-0.0,-0.0
76,-5.523907817054487,0.0,-0.0,-0.0
77,-5.521907817054488,0.0,-0.0,-0.0
78,-5.519907817054486,0.0,-0.0,-0.0
79,-5.5179078170544855,0.0,-0.0,-0.0
80,-5.5159078170544875,0.0,-0.0,-0.0
81,-5.513907817054486,0.0,-0.0,-0.0
82,-5.511907817054485,0.0,-0.0,-0.0
83,-5.509907817054486,0.0,-0.0,-0.0
84,-5.507907817054487,0.0,-0.0,-0.0
85,-5.505907817054488,0.0,-0.0,-0.0
86,-5.503907817054486,0.0,-0.0,-0.0
87,-5.5019078170544855,0.0,-0.0,-0.0
88,-5.4999078170544875,0.0,-0.0,-0.0
89,-5.497907817054486,0.0,-0.0,-0.0
90,-5.495907817054485,0.0,-0.0,-0.0
91,-5.493907817054486,0.0,-0.0,-0.0
92,-5.491907817054487,0.0,-0.0,-0.0
93,-5.489907817054488,0.0,-0.0,-0.0
94,-5.487907817054486,0.0,-0.0,-0.0
95,-5.4859078170544855,0.0,-0.0,-0.0
96,-5.4839078170544875,0.0,-0.0,-0.0
97,-5.481907817054486,0.0,-0.0,-0.0
98,-5.479907817054485,0.0,-0.0,-0.0
99,-5.477907817054486,0.0,-0.0,-0.0
100,-5.475907817054487,0.0,-0.0,-0.0
101,-5.473907817054488,0.0,-0.0,-0.0
102,-5.471907817054486,0.0,-0.0,-0.0
103,-5.4699078170544855,0.0,-0.0,-0.0
104,-5.4679078170544875,0.0,-0.0,-0.0
105,-5.465907817054486,0.0,-0.0,-0.0
106,-5.463907817054485,0.0,-0.0,-0.0
107,-5.461907817054486,0.0,-0.0,-0.0
108,-5.459907817054487,0.0,-0.0,-0.0
109,-5.457907817054488,0.0,-0.0,-0.0
110,-5.455907817054486,0.0,-0.0,-0.0
111,-5.4539078170544855,0.0,-0.0,-0.0
112,-5.4519078170544875,0.0,-0.0,-0.0
113,-5.449907817054486,0.0,-0.0,-0.0
114,-5.447907817054485,0.0,-0.0,-0.0
115,-5.445907817054486,0.0,-0.0,-0.0
116,-5.443907817054487,0.0,-0.0,-0.0
117,-5.441907817054488,0.0,-0.0,-0.0
118,-5.439907817054486,0.0,-0.0,-0.0
119,-5.437907817054485,0.0,-0.0,-0.0
120,-5.4359078170544874,0.0,-0.0,-0.0
121,-5.433907817054486,0.0,-0.0,-0.0
122,-5.431907817054485,0.0,-0.0,-0.0
123,-5.429907817054486,0.0,-0.0,-0.0
124,-5.4279078170544866,0.0,-0.0,-0.0
125,-5.425907817054488,0.0,-0.0,-0.0
126,-5.423907817054486,0.0,-0.0,-0.0
127,-5.421907817054485,0.0,-0.0,-0.0
128,-5.419907817054487,0.0,-0.0,-0.0
129,-5.417907817054486,0.0,-0.0,-0.0
130,-5.415907817054485,0.0,-0.0,-0.0
131,-5.413907817054486,0.0,-0.0,-0.0
132,-5.4119078170544865,0.0,-0.0,-0.0
133,-5.409907817054488,0.0,-0.0,-0.0
134,-5.407907817054486,0.0,-0.0,-0.0
135,-5.405907817054485,0.0,-0.0,-0.0
136,-5.403907817054487,0.0,-0.0,-0.0
137,-5.401907817054486,0.0,-0.0,-0.0
138,-5.399907817054485,0.0,-0.0,-0.0
139,-5.397907817054486,0.0,-0.0,-0.0
140,-5.3959078170544865,0.0,-0.0,-0.0
141,-5.393907817054488,0.0,-0.0,-0.0
142,-5.391907817054486,0.0,-0.0,-0.0
143,-5.389907817054485,0.0,-0.0,-0.0
144,-5.387907817054487,0.0,-0.0,-0.0
145,-5.385907817054486,0.0,-0.0,-0.0
146,-5.383907817054485,0.0,-0.0,-0.0
147,-5.381907817054486,0.0,-0.0,-0.0
148,-5.3799078170544865,0.0,-0.0,-0.0
149,-5.377907817054488,0.0,-0.0,-0.0
150,-5.375907817054486,0.0,-0.0,-0.0
151,-5.373907817054485,0.0,-0.0,-0.0
152,-5.371907817054487,0.0,-0.0,-0.0
153,-5.369907817054486,0.0,-0.0,-0.0
154,-5.367907817054485,0.0,-0.0,-0.0
155,-5.365907817054486,0.0,-0.0,-0.0
156,-5.3639078170544865,0.0,-0.0,-0.0
157,-5.361907817054488,0.0,-0.0,-0.0
158,-5.359907817054486,0.0,-0.0,-0.0
159,-5.357907817054485,0.0,-0.0,-0.0
160,-5.355907817054487,0.0,-0.0,-0.0
161,-5.353907817054487,0.0,-0.0,-0.0
162,-5.351907817054485,0.0,-0.0,-0.0
163,-5.349907817054486,0.0,-0.0,-0.0
164,-5.3479078170544865,0.0,-0.0,-0.0
165,-5.345907817054488,0.0,-0.0,-0.0
166,-5.343907817054486,0.0,-0.0,-0.0
167,-5.341907817054485,0.0,-0.0,-0.0
168,-5.339907817054487,0.0,-0.0,-0.0
169,-5.337907817054487,0.0,-0.0,-0.0
170,-5.335907817054485,0.0,-0.0,-0.0
171,-5.333907817054486,0.0,-0.0,-0.0
172,-5.3319078170544865,0.0,-0.0,-0.0
173,-5.329907817054488,0.0,-0.0,-0.0
174,-5.327907817054486,0.0,-0.0,-0.0
175,-5.325907817054485,0.0,-0.0,-0.0
176,-5.323907817054487,0.0,-0.0,-0.0
177,-5.321907817054487,0.0,-0.0,-0.0
178,-5.319907817054485,0.0,-0.0,-0.0
179,-5.317907817054486,0.0,-0.0,-0.0
180,-5.3159078170544865,0.0,-0.0,-0.0
181,-5.313907817054488,0.0,-0.0,-0.0
182,-5.311907817054486,0.0,-0.0,-0.0
183,-5.309907817054485,0.0,-0.0,-0.0
184,-5.307907817054486,0.0,-0.0,-0.0
185,-5.305907817054487,0.0,-0.0,-0.0
186,-5.303907817054485,0.0,-0.0,-0.0
187,-5.301907817054486,0.0,-0.0,-0.0
188,-5.2999078170544855,0.0,-0.0,-0.0
189,-5.2979078170544875,0.0,-0.0,-0.0
190,-5.295907817054486,0.0,-0.0,-0.0
191,-5.293907817054485,0.0,-0.0,-0.0
192,-5.291907817054486,0.0,-0.0,-0.0
193,-5.289907817054487,0.0,-0.0,-0.0
194,-5.287907817054488,0.0,-0.0,-0.0
195,-5.285907817054486,0.0,-0.0,-0.0
196,-5.2839078170544855,0.0,-0.0,-0.0
197,-5.2819078170544875,0.0,-0.0,-0.0
198,-5.279907817054486,0.0,-0.0,-0.0
199,-5.277907817054485,0.0,-0.0,-0.0
200,-5.275907817054486,0.0,-0.0,-0.0
201,-5.273907817054487,0.0,-0.0,-0.0
202,-5.271907817054488,0.0,-0.0,-0.0
203,-5.269907817054486,0.0,-0.0,-0.0
204,-5.2679078170544855,0.0,-0.0,-0.0
205,-5.2659078170544875,0.0,-0.0,-0.0
206,-5.263907817054486,0.0,-0.0,-0.0
207,-5.261907817054485,0.0,-0.0,-0.0
208,-5.259907817054486,0.0,-0.0,-0.0
209,-5.257907817054487,0.0,-0.0,-0.0
210,-5.255907817054488,0.0,-0.0,-0.0
211,-5.253907817054486,0.0,-0.0,-0.0
212,-5.2519078170544855,0.0,-0.0,-0.0
213,-5.2499078170544875,0.0,-0.0,-0.0
214,-5.247907817054486,0.0,-0.0,-0.0
215,-5.245907817054485,0.0,-0.0,-0.0
216,-5.243907817054486,0.0,-0.0,-0.0
217,-5.241907817054487,0.0,-0.0,-0.0
218,-5.239907817054488,0.0,-0.0,-0.0
219,-5.237907817054486,0.0,-0.0,-0.0
220,-5.2359078170544855,0.0,-0.0,-0.0
221,-5.2339078170544875,0.0,-0.0,-0.0
222,-5.231907817054486,0.0,-0.0,-0.0
223,-5.229907817054485,0.0,-0.0,-0.0
224,-5.227907817054486,0.0,-0.0,-0.0
225,-5.225907817054487,0.0,-0.0,-0.0
226,-5.223907817054488,0.0,-0.0,-0.0
227,-5.221907817054486,0.0,-0.0,-0.0
228,-5.2199078170544855,0.0,-0.0,-0.0
229,-5.2179078170544875,0.0,-0.0,-0.0
230,-5.215907817054486,0.0,-0.0,-0.0
231,-5.213907817054485,0.0,-0.0,-0.0
232,-5.211907817054486,0.0,-0.0,-0.0
233,-5.209907817054487,0.0,-0.0,-0.0
234,-5.207907817054488,0.0,-0.0,-0.0
235,-5.205907817054486,0.0,-0.0,-0.0
236,-5.2039078170544855,0.0,-0.0,-0.0
237,-5.2019078170544875,0.0,-0.0,-0.0
238,-5.199907817054486,0.0,-0.0,-0.0
239,-5.197907817054485,0.0,-0.0,-0.0
240,-5.195907817054486,0.0,-0.0,-0.0
241,-5.193907817054487,0.0,-0.0,-0.0
242,-5.191907817054488,0.0,-0.0,-0.0
243,-5.189907817054486,0.0,-0.0,-0.0
244,-5.187907817054485,0.0,-0.0,-0.0
245,-5.1859078170544874,0.0,-0.0,-0.0
246,-5.183907817054486,0.0,-0.0,-0.0
247,-5.181907817054485,0.0,-0.0,-0.0
248,-5.179907817054486,0.0,-0.0,-0.0
249,-5.1779078170544866,0.0,-0.0,-0.0
250,-5.175907817054488,0.0,-0.0,-0.0
251,-5.173907817054486,0.0,-0.0,-0.0
252,-5.171907817054485,0.0,-0.0,-0.0
253,-5.169907817054487,0.0,-0.0,-0.0
254,-5.167907817054486,0.0,-0.0,-0.0
255,-5.165907817054485,0.0,-0.0,-0.0
256,-5.163907817054486,0.0,-0.0,-0.0
