,time,u
0,0.0,0.0002995494
1,0.02,0.001156696
2,0.04,-0.0007021546000000001
3,0.06,0.002129118
4,0.08,-0.0006010761
5,0.1,-0.00264444
6,0.12,0.002613362
7,0.14,-0.0007214760000000001
8,0.16,0.281964
9,0.18,4.37427
10,0.2,9.860278
11,0.22,15.65163
12,0.24,21.85105
13,0.26,28.39727
14,0.28,1.297542
15,0.3,-47.21563
16,0.32,-33.8552
17,0.34,-23.89093
18,0.36,-16.48325
19,0.38,-11.00734
20,0.4,-6.9762429999999975
21,0.42,-4.036728
22,0.44,-1.91793
23,0.46,-0.4120688
24,0.48,0.6288469
25,0.5,1.323034
26,0.52,1.76479
27,0.54,2.016005
28,0.56,2.136282
29,0.58,2.159583
30,0.6,2.113222
31,0.62,2.026822
32,0.64,1.908331
33,0.66,1.7758029999999998
34,0.68,1.636105
35,0.7000000000000001,1.4932530000000002
36,0.72,1.356557
37,0.74,1.223633
38,0.76,1.099206
39,0.78,0.9840759
40,0.8,0.8764205
41,0.8200000000000001,0.7807205
42,0.84,0.6921182
43,0.86,0.6137415
44,0.88,0.5431402
45,0.9,0.4760407999999999
46,0.92,0.4272622
47,0.94,0.3701513
48,0.96,0.3294665
49,0.98,0.2889377
50,1.0,0.2553399
51,1.02,0.2237541
52,1.04,0.197804
53,1.06,0.1745031
54,1.08,0.1525695
55,1.1,0.13610260000000002
56,1.12,0.11955639999999998
57,1.14,0.1059198
58,1.16,0.09355365
59,1.18,0.08264934
60,1.2,0.07353597
61,1.22,0.06518306
62,1.24,0.05826864
63,1.26,0.05213692
64,1.28,0.04458671
65,1.3,0.04448042
66,1.32,0.03518239
67,1.34,0.03335093
68,1.36,0.02978987
69,1.38,0.02759385
70,1.4,0.02317864
71,1.42,0.02185428
72,1.44,0.02073851
73,1.46,0.0172858
74,1.48,0.01782919
75,1.5,0.01477122
76,1.52,0.01343926
77,1.54,0.01279886
78,1.56,0.01162642
79,1.58,0.01087524
80,1.6,0.01011001
81,1.62,0.008581925
82,1.64,0.008535484
83,1.66,0.008048396999999999
84,1.68,0.007397420999999999
85,1.7,0.006961271999999999
86,1.72,0.0066148380000000005
87,1.74,0.005929086
88,1.76,0.00564936
89,1.78,0.004847012
90,1.8,0.0052256970000000005
91,1.82,0.004731282
92,1.84,0.004601651
93,1.86,0.004655213
94,1.88,0.003330542
95,1.9,0.00401968
96,1.92,0.00330585
97,1.94,0.003409205
98,1.96,0.003638226
99,1.98,0.003779449
100,2.0,0.002640138
101,2.02,0.003963874
102,2.04,0.0002456466
103,2.06,0.004085397
104,2.08,0.002497147
105,2.1,0.0026571
106,2.12,0.001887058
107,2.14,0.001947437
108,2.16,0.002286566
109,2.18,0.0034064140000000004
110,2.2,0.001128599
111,2.22,0.002355778
112,2.24,0.001755357
113,2.26,0.001506931
114,2.28,0.002338362
115,2.3000000000000003,0.001782156
116,2.32,0.00184949
117,2.34,0.001884102
118,2.36,0.00164904
119,2.38,0.00113442
120,2.4,0.002419713
121,2.42,0.0001856674
122,2.44,0.002377568
123,2.46,0.001440033
124,2.48,0.001850522
125,2.5,0.0009656283
126,2.52,0.001970883
127,2.54,0.001288704
128,2.56,0.001925455
129,2.58,0.0005589237
130,2.6,0.001567906
131,2.62,0.0009900221000000002
132,2.64,0.0017391129999999998
133,2.66,0.0011695260000000002
134,2.68,0.0016390920000000002
135,2.7,0.001250626
136,2.72,0.0009670799
