,time,time1,u,v,Q2
0,0.0,0.0,0.000197701,0.0,0.0
1,0.02,0.02,8.390888e-05,0.0,0.0
2,0.04,0.04,-0.0001384833,0.0,0.0
3,0.06,0.06,-0.0003206216,0.0,0.0
4,0.08,0.08,-0.0001025242,0.0,0.0
5,0.1,0.1,3.010385e-05,0.0,0.0
6,0.12,0.12,0.0001084347,0.0,0.0
7,0.14,0.14,0.00028911,0.0,0.0
8,0.16,0.16,-0.0001395798,0.0,0.0
9,0.18,0.18,-0.0001138649,0.0,0.0
10,0.2,0.2,-0.0001933541,0.0,0.0
11,0.22,0.22,-8.842639000000001e-05,0.0,0.0
12,0.24,0.24,0.0002251127,0.0,0.0
13,0.26,0.26,0.0001394107,0.0,0.0
14,0.28,0.28,-5.398315e-05,0.0,0.0
15,0.3,0.3,-0.0001317797,0.0,0.0
16,0.32,0.32,1.837295e-05,0.0,0.0
17,0.34,0.34,-0.0001879623,0.0,0.0
18,0.36,0.36,0.0001543972,0.0,0.0
19,0.38,0.38,0.0001768412,0.0,0.0
20,0.4,0.4,3.34267e-05,0.0,0.0
21,0.42,0.42,-0.0003038201,0.0,0.0
22,0.44,0.44,0.0005977739,0.0,0.0
23,0.46,0.46,-0.001139309,0.0,0.0
24,0.48,0.48,0.0005872465,0.0,0.0
25,0.5,0.5,0.0003118123,0.0,0.0
26,0.52,0.52,-4.473543e-05,0.0,0.0
27,0.54,0.54,-1.735119e-05,0.0,0.0
28,0.56,0.56,-0.0001128835,0.0,0.0
29,0.58,0.58,-2.938207e-05,0.0,0.0
30,0.6,0.6,-4.155964e-05,0.0,0.0
31,0.62,0.62,-4.297106e-05,0.0,0.0
32,0.64,0.64,1.126786e-06,0.0,0.0
33,0.66,0.66,0.0004222046,0.0,0.0
34,0.68,0.68,-0.0003633727,0.0,0.0
35,0.7000000000000001,0.7000000000000001,-1.7237479999999994e-05,0.0,0.0
36,0.72,0.72,-1.0096e-05,0.0,0.0
37,0.74,0.74,7.326814e-05,0.0,0.0
38,0.76,0.76,0.0002234072,0.0,0.0
39,0.78,0.78,-0.0001744048,0.0,0.0
40,0.8,0.8,-6.921495e-05,0.0,0.0
41,0.8200000000000001,0.8200000000000001,-9.271342e-05,0.0,0.0
42,0.84,0.84,3.567635e-05,0.0,0.0
43,0.86,0.86,3.768688e-06,0.0,0.0
44,0.88,0.88,0.0002198767,0.0,0.0
45,0.9,0.9,-0.0001028285,0.0,0.0
46,0.92,0.92,-0.0001568029,0.0,0.0
47,0.94,0.94,-0.05645476,0.0,0.0
48,0.96,0.96,-0.1734066,0.0,0.0
49,0.98,0.98,-0.2734875,0.0,0.0
50,1.0,1.0,-0.3526579,0.0,0.0
51,1.02,1.02,-0.4125476,0.0,0.0
52,1.04,1.04,-0.454632,0.0,0.0
53,1.06,1.06,-0.4827148,0.0,0.0
54,1.08,1.08,-0.4999136,0.0,0.0
55,1.1,1.1,-0.5267437,0.0,0.0
56,1.12,1.12,-0.5778145,0.0,0.0
57,1.14,1.14,-0.6206883000000001,0.0,0.0
58,1.16,1.16,-0.6467666,0.0,0.0
59,1.18,1.18,-0.6569862,0.0,0.0
60,1.2,1.2,-0.6536071,0.0,0.0
61,1.22,1.22,-0.6406725000000001,0.0,0.0
62,1.24,1.24,-0.6212022,0.0,0.0
63,1.26,1.26,-0.5972163,0.0,0.0
64,1.28,1.28,-0.5711741,0.0,0.0
65,1.3,1.3,-0.544416,0.0,0.0
66,1.32,1.32,-0.5173976,0.0,0.0
67,1.34,1.34,-0.4919696,0.0,0.0
68,1.36,1.36,-0.4678130999999999,0.0,0.0
69,1.38,1.38,-0.4452462,0.0,0.0
70,1.4,1.4,-0.4257002,0.0,0.0
71,1.42,1.42,-0.4063263,0.0,0.0
72,1.44,1.44,-0.3912111,0.0,0.0
73,1.46,1.46,-0.3769109000000001,0.0,0.0
74,1.48,1.48,-0.3639108,0.0,0.0
75,1.5,1.5,-0.3558789,0.0,0.0
76,1.52,1.52,-0.3456323,0.0,0.0
77,1.54,1.54,-0.3426796,0.0,0.0
78,1.56,1.56,-0.33776880000000004,0.0,0.0
79,1.58,1.58,-0.3446728,0.0,0.0
80,1.6,1.6,-0.3393625,0.0,0.0
81,1.62,1.62,18.34352,0.0,0.0
82,1.64,1.64,14.33763,0.0,0.0
83,1.66,1.66,9.243442,0.0,0.0
84,1.68,1.68,5.484321,0.0,0.0
85,1.7,1.7,2.76211,0.0,0.0
86,1.72,1.72,0.8337704,0.0,0.0
87,1.74,1.74,-0.4869424,0.0,0.0
88,1.76,1.76,-1.346534,0.0,0.0
89,1.78,1.78,-1.86232,0.0,0.0
90,1.8,1.8,-2.13164,0.0,0.0
91,1.82,1.82,-2.2313970000000003,0.0,0.0
92,1.84,1.84,-2.2198900000000004,0.0,0.0
93,1.86,1.86,-2.137973,0.0,0.0
94,1.88,1.88,-2.014629,0.0,0.0
95,1.9,1.9,-1.869818,0.0,0.0
96,1.92,1.92,-1.715121,0.0,0.0
97,1.94,1.94,-1.560824,0.0,0.0
98,1.96,1.96,-1.410606,0.0,0.0
99,1.98,1.98,-1.26861,0.0,0.0
100,2.0,2.0,-1.136158,0.0,0.0
101,2.02,2.02,-1.013674,0.0,0.0
102,2.04,2.04,-0.9028287,0.0,0.0
103,2.06,2.06,-0.8016968000000001,0.0,0.0
104,2.08,2.08,-0.7109205,0.0,0.0
105,2.1,2.1,-0.6292659,0.0,0.0
106,2.12,2.12,-0.5568711999999999,0.0,0.0
107,2.14,2.14,-0.4917782,0.0,0.0
108,2.16,2.16,-0.4345132,0.0,0.0
109,2.18,2.18,-0.3833258,0.0,0.0
110,2.2,2.2,-0.3384726,0.0,0.0
111,2.22,2.22,-0.2986065,0.0,0.0
112,2.24,2.24,-0.2635372,0.0,0.0
113,2.26,2.26,-0.2328353,0.0,0.0
114,2.28,2.28,-0.2054194,0.0,0.0
115,2.3000000000000003,2.3000000000000003,-0.1816488,0.0,0.0
116,2.32,2.32,-0.1605021,0.0,0.0
117,2.34,2.34,-0.1421366,0.0,0.0
118,2.36,2.36,-0.1259045,0.0,0.0
119,2.38,2.38,-0.1117911,0.0,0.0
120,2.4,2.4,-0.09895072,0.0,0.0
121,2.42,2.42,-0.08821462,0.0,0.0
122,2.44,2.44,-0.07838523,0.0,0.0
123,2.46,2.46,-0.07002604,0.0,0.0
124,2.48,2.48,-0.06247996,0.0,0.0
125,2.5,2.5,-0.05577608,0.0,0.0
126,2.52,2.52,-0.05029795,0.0,0.0
127,2.54,2.54,-0.04463395,0.0,0.0
128,2.56,2.56,-0.04056186,0.0,0.0
129,2.58,2.58,-0.0365438,0.0,0.0
130,2.6,2.6,-0.03266102,0.0,0.0
131,2.62,2.62,-0.030054700000000004,0.0,0.0
132,2.64,2.64,-0.02669593,0.0,0.0
133,2.66,2.66,-0.02450969,0.0,0.0
134,2.68,2.68,-0.0222555,0.0,0.0
135,2.7,2.7,-0.02124535,0.0,0.0
136,2.72,2.72,-0.01752715,0.0,0.0
137,2.74,2.74,-0.01732199,0.0,0.0
138,2.76,2.76,-0.01573397,0.0,0.0
139,2.78,2.78,-0.01424537,0.0,0.0
140,2.8000000000000003,2.8000000000000003,-0.013191299999999998,0.0,0.0
141,2.82,2.82,-0.012401299999999999,0.0,0.0
142,2.84,2.84,-0.0110881,0.0,0.0
143,2.86,2.86,-0.01057403,0.0,0.0
144,2.88,2.88,-0.009857028,0.0,0.0
145,2.9,2.9,-0.008882642,0.0,0.0
146,2.92,2.92,-0.008483673,0.0,0.0
147,2.94,2.94,-0.007758309,0.0,0.0
148,2.96,2.96,-0.0073309069999999985,0.0,0.0
149,2.98,2.98,-0.006905442,0.0,0.0
150,3.0,3.0,-0.006355721,0.0,0.0
151,3.02,3.02,-0.0059392690000000005,0.0,0.0
152,3.04,3.04,-0.005927234,0.0,0.0
153,3.06,3.06,-0.00509125,0.0,0.0
154,3.08,3.08,-0.005214437,0.0,0.0
155,3.1,3.1,-0.004643989,0.0,0.0
156,3.12,3.12,-0.004366977,0.0,0.0
157,3.14,3.14,-0.004440486,0.0,0.0
158,3.16,3.16,-0.003666411,0.0,0.0
159,3.18,3.18,-0.004033795,0.0,0.0
160,3.2,3.2,-0.0033204790000000003,0.0,0.0
161,3.22,3.22,-0.003813689,0.0,0.0
162,3.24,3.24,-0.0028964090000000004,0.0,0.0
163,3.26,3.26,-0.002902672,0.0,0.0
164,3.28,3.28,-0.003331343,0.0,0.0
165,3.3000000000000003,3.3000000000000003,-0.002685491,0.0,0.0
166,3.3200000000000003,3.3200000000000003,-0.002555828,0.0,0.0
167,3.34,3.34,-0.002584523,0.0,0.0
168,3.36,3.36,-0.002401453,0.0,0.0
169,3.38,3.38,-0.002306326,0.0,0.0
170,3.4,3.4,-0.002118212,0.0,0.0
171,3.42,3.42,-0.001996538,0.0,0.0
172,3.44,3.44,-0.002088053,0.0,0.0
173,3.46,3.46,-0.002033732,0.0,0.0
174,3.48,3.48,-0.001776915,0.0,0.0
175,3.5,3.5,-0.001814721,0.0,0.0
176,3.52,3.52,-0.001413972,0.0,0.0
177,3.54,3.54,-0.0017571929999999998,0.0,0.0
178,3.56,3.56,-0.00163547,0.0,0.0
179,3.58,3.58,-0.001463608,0.0,0.0
180,3.6,3.6,-0.001428404,0.0,0.0
